MOIS,DATE,ANNEE,CATEGORIE,SOUS-CATEGORIE,PRODUITS,UNITE,VILLE,PRIX
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,HARICOT VERT (kg),kilogramme,SANPEDRO,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,HARICOT NIEBE BLANC,sans unité,SANPEDRO,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAMPLEMOUSSE,sans unité,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,PAPAYE (kg),kilogramme,SANPEDRO,400
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,GOYAVE,sans unité,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,MANGUES,sans unité,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TANGELO,sans unité,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ORANGE (kg),kilogramme,SANPEDRO,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,FRUITS,AVOCAT (kg),kilogramme,SANPEDRO,600
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,COROSSOL,sans unité,SANPEDRO
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,BANANE PLANTAIN (kg),kilogramme,SANPEDRO,200
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,TOMATE TYPE SALADE (kg),kilogramme,SANPEDRO,700
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS HORS  SAISON,PATATE DOUCE,kilogramme,SANPEDRO,250
janvier,2020-01-06,2020,PRODUITS VIVRIERS,PRODUITS DE SAISON,ARACHIDE DECORTIQUEE (kg),kilogramme,SANPEDRO,500
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF SANS OS (kg),kilogramme,SANPEDRO,2500
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE BOEUF AVEC OS (kg),kilogramme,SANPEDRO,2200
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,VIANDE DE MOUTON (kg),kilogramme,SANPEDRO,4000
janvier,2020-01-06,2020,PRODUITS FRAIS,BOUCHERIE,POULET DE CHAIR (kg),kilogramme,SANPEDRO,2000
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE NOIRE D'AQUACULTURE,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,CARPE ROUGE LOCALE,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON NOIR,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,THON ROUGE,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SOSSO LOCAL,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,MÂCHOIRON FRAIS LOCAL,kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,SARDINE FUMÉE (MANGNE),kilogramme,SANPEDRO
janvier,2020-01-06,2020,PRODUITS FRAIS,POISSONNERIE,ESCARGOT LOCAL,kilogramme,SANPEDRO
